Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
02-09-2025;00:00:00;02-09-2025;00:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,065;kWh;Uitgelezen;
02-09-2025;00:00:00;02-09-2025;00:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;00:15:00;02-09-2025;00:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,062;kWh;Uitgelezen;
02-09-2025;00:15:00;02-09-2025;00:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;00:30:00;02-09-2025;00:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,070;kWh;Uitgelezen;
02-09-2025;00:30:00;02-09-2025;00:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;00:45:00;02-09-2025;01:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,076;kWh;Uitgelezen;
02-09-2025;00:45:00;02-09-2025;01:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;01:00:00;02-09-2025;01:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,064;kWh;Uitgelezen;
02-09-2025;01:00:00;02-09-2025;01:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;01:15:00;02-09-2025;01:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,074;kWh;Uitgelezen;
02-09-2025;01:15:00;02-09-2025;01:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;01:30:00;02-09-2025;01:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,060;kWh;Uitgelezen;
02-09-2025;01:30:00;02-09-2025;01:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;01:45:00;02-09-2025;02:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,050;kWh;Uitgelezen;
02-09-2025;01:45:00;02-09-2025;02:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;02:00:00;02-09-2025;02:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,059;kWh;Uitgelezen;
02-09-2025;02:00:00;02-09-2025;02:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;02:15:00;02-09-2025;02:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,063;kWh;Uitgelezen;
02-09-2025;02:15:00;02-09-2025;02:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;02:30:00;02-09-2025;02:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,053;kWh;Uitgelezen;
02-09-2025;02:30:00;02-09-2025;02:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;02:45:00;02-09-2025;03:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,058;kWh;Uitgelezen;
02-09-2025;02:45:00;02-09-2025;03:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;03:00:00;02-09-2025;03:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,053;kWh;Uitgelezen;
02-09-2025;03:00:00;02-09-2025;03:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;03:15:00;02-09-2025;03:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,071;kWh;Uitgelezen;
02-09-2025;03:15:00;02-09-2025;03:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;03:30:00;02-09-2025;03:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,076;kWh;Uitgelezen;
02-09-2025;03:30:00;02-09-2025;03:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;03:45:00;02-09-2025;04:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,065;kWh;Uitgelezen;
02-09-2025;03:45:00;02-09-2025;04:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;04:00:00;02-09-2025;04:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,066;kWh;Uitgelezen;
02-09-2025;04:00:00;02-09-2025;04:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;04:15:00;02-09-2025;04:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,065;kWh;Uitgelezen;
02-09-2025;04:15:00;02-09-2025;04:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;04:30:00;02-09-2025;04:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,051;kWh;Uitgelezen;
02-09-2025;04:30:00;02-09-2025;04:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;04:45:00;02-09-2025;05:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,059;kWh;Uitgelezen;
02-09-2025;04:45:00;02-09-2025;05:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;05:00:00;02-09-2025;05:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,054;kWh;Uitgelezen;
02-09-2025;05:00:00;02-09-2025;05:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;05:15:00;02-09-2025;05:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,063;kWh;Uitgelezen;
02-09-2025;05:15:00;02-09-2025;05:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;05:30:00;02-09-2025;05:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,058;kWh;Uitgelezen;
02-09-2025;05:30:00;02-09-2025;05:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;05:45:00;02-09-2025;06:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,049;kWh;Uitgelezen;
02-09-2025;05:45:00;02-09-2025;06:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;06:00:00;02-09-2025;06:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,068;kWh;Uitgelezen;
02-09-2025;06:00:00;02-09-2025;06:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;06:15:00;02-09-2025;06:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,077;kWh;Uitgelezen;
02-09-2025;06:15:00;02-09-2025;06:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;06:30:00;02-09-2025;06:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,069;kWh;Uitgelezen;
02-09-2025;06:30:00;02-09-2025;06:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;06:45:00;02-09-2025;07:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Nacht;0,071;kWh;Uitgelezen;
02-09-2025;06:45:00;02-09-2025;07:00:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
02-09-2025;07:00:00;02-09-2025;07:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Dag;0,056;kWh;Uitgelezen;
02-09-2025;07:00:00;02-09-2025;07:15:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
02-09-2025;07:15:00;02-09-2025;07:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Dag;0,053;kWh;Uitgelezen;
02-09-2025;07:15:00;02-09-2025;07:30:00;="541448820050357909";1SAG3200193141;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
02-09-2025;07:30:00;02-09-2025;07:45:00;="541448820050357909";1SAG3200193141;Digitale meter;Afname Dag;0,038;kWh;Uitgelezen;
